Package,License
postcss-normalize-string,MIT
postcss-normalize-timing-functions,MIT
postcss-normalize-unicode,MIT
postcss-normalize-url,MIT
postcss-normalize-whitespace,MIT
postcss-opacity-percentage,MIT
postcss-ordered-values,MIT
postcss-page-break,MIT
postcss-reduce-initial,MIT
postcss-reduce-transforms,MIT
postcss-replace-overflow-wrap,MIT
postcss-selector-not,MIT
postcss-selector-parser,MIT
postcss-svgo,MIT
postcss-unique-selectors,MIT
postcss-value-parser,MIT
prelude-ls,MIT
pretty-bytes,MIT
pretty-error,MIT
pretty-format,MIT
primereact,MIT
process,MIT
process-nextick-args,MIT
promise,MIT
prompts,MIT
prop-types,MIT
prop-types-extra,MIT
proxy-addr,MIT
proxy-from-env,MIT
psl,MIT
punycode,MIT
q,MIT
qrcode-generator,MIT
querystringify,MIT
queue-microtask,MIT
raf,MIT
randombytes,MIT
range-parser,MIT
raw-body,MIT
react,MIT
react-app-polyfill,MIT
react-bootstrap,MIT
react-bootstrap-icons,MIT
react-color,MIT
react-dev-utils,MIT
react-dom,MIT
react-error-overlay,MIT
react-icons,MIT
react-is,MIT
react-lifecycles-compat,MIT
react-phone-input-2,MIT
react-qrcode-logo,MIT
react-redux,MIT
react-refresh,MIT
react-router,MIT
react-router-dom,MIT
react-scripts,MIT
reactcss,MIT
read-cache,MIT
readable-stream,MIT
readable-web-to-node-stream (dev),MIT
readdirp,MIT
recursive-readdir,MIT
redent,MIT
redux,MIT
redux-thunk,MIT
reflect.getprototypeof,MIT
regenerate,MIT
regenerate-unicode-properties,MIT
regenerator-runtime,MIT
regenerator-transform,MIT
regex-parser,MIT
regexp.prototype.flags,MIT
regexpu-core,MIT
relateurl,MIT
renderkid,MIT
require-directory,MIT
require-from-string,MIT
requires-port,MIT
reselect,MIT
resolve,MIT
resolve-cwd,MIT
resolve-from,MIT
resolve-url-loader,MIT
resolve.exports,MIT
retry,MIT
reusify,MIT
rollup,MIT
rollup-plugin-terser,MIT
run-parallel,MIT
safe-array-concat,MIT
safe-buffer,MIT
safe-regex-test,MIT
safer-buffer,MIT
sass-loader,MIT
scheduler,MIT
schema-utils,MIT
select-hose,MIT
selfsigned,MIT
send,MIT
serve-index,MIT
serve-static,MIT
set-function-length,MIT
set-function-name,MIT
shallowequal,MIT
shebang-command,MIT
shebang-regex,MIT
shell-quote,MIT
side-channel,MIT
sisteransi,MIT
slash,MIT
sockjs,MIT
source-list-map,MIT
source-map-loader,MIT
source-map-support,MIT
sourcemap-codec,MIT
spdy,MIT
spdy-transport,MIT
stable,MIT
stack-utils,MIT
stackframe,MIT
static-eval,MIT
statuses,MIT
stop-iteration-iterator,MIT
string_decoder,MIT
string-length,MIT
string-natural-compare,MIT
string-width,MIT
string.prototype.matchall,MIT
string.prototype.trim,MIT
string.prototype.trimend,MIT
string.prototype.trimstart,MIT
strip-ansi,MIT
strip-bom,MIT
strip-comments,MIT
strip-final-newline,MIT
strip-indent,MIT
strip-json-comments,MIT
strtok3 (dev),MIT
style-loader,MIT
styled-components,MIT
stylehacks,MIT
stylis,MIT
sucrase,MIT
supports-color,MIT
supports-hyperlinks,MIT
supports-preserve-symlinks-flag,MIT
svg-parser,MIT
svgo,MIT
symbol-tree,MIT
tailwindcss,MIT
tapable,MIT
temp-dir,MIT
tempy,MIT
terminal-link,MIT
terser-webpack-plugin,MIT
text-table,MIT
thenify,MIT
thenify-all,MIT
throat,MIT
thunky,MIT
timm,MIT
tinycolor2,MIT
to-fast-properties,MIT
to-regex-range,MIT
toidentifier,MIT
token-types (dev),MIT
tr46,MIT
tryer,MIT
tsconfig-paths,MIT
tsutils,MIT
type-check,MIT
type-detect,MIT
type-is,MIT
typed-array-buffer,MIT
typed-array-byte-length,MIT
typed-array-byte-offset,MIT
typed-array-length,MIT
typedarray-to-buffer,MIT
unbox-primitive,MIT
uncontrollable,MIT
underscore,MIT
unicode-canonical-property-names-ecmascript,MIT
unicode-match-property-ecmascript,MIT
unicode-match-property-value-ecmascript,MIT
unicode-property-aliases-ecmascript,MIT
unique-string,MIT
universalify,MIT
unpipe,MIT
unquote,MIT
upath,MIT
update-browserslist-db,MIT
url-parse,MIT
urlon,MIT
use-isomorphic-layout-effect,MIT
use-sync-external-store,MIT
utif,MIT
util-deprecate,MIT
util.promisify,MIT
utila,MIT
utils-merge,MIT
uuid,MIT
vary,MIT
w3c-hr-time,MIT
w3c-xmlserializer,MIT
warning,MIT
watchpack,MIT
wbuf,MIT
webpack,MIT
webpack-dev-middleware,MIT
webpack-dev-server,MIT
webpack-manifest-plugin,MIT
webpack-sources,MIT
whatwg-encoding,MIT
whatwg-fetch,MIT
whatwg-mimetype,MIT
whatwg-url,MIT
which-boxed-primitive,MIT
which-builtin-type,MIT
which-collection,MIT
which-typed-array,MIT
word-wrap,MIT
workbox-background-sync,MIT
workbox-broadcast-update,MIT
workbox-build,MIT
workbox-cacheable-response,MIT
workbox-core,MIT
workbox-expiration,MIT
workbox-google-analytics,MIT
workbox-navigation-preload,MIT
workbox-precaching,MIT
workbox-range-requests,MIT
workbox-recipes,MIT
workbox-routing,MIT
workbox-strategies,MIT
workbox-streams,MIT
workbox-sw,MIT
workbox-webpack-plugin,MIT
workbox-window,MIT
wrap-ansi,MIT
ws,MIT
xhr,MIT
xml-parse-from-string,MIT
xml2js,MIT
xmlbuilder,MIT
xmlchars,MIT
xstate,MIT
xtend,MIT
yargs,MIT
yocto-queue,MIT
axe-core,MPL-2.0
argparse,Python-2.0
@userfront/core,Unknown
fs-monkey,Unlicense
memfs,Unlicense
└───────────────────────────────────────────────────────────────────────────────┴───────────────────────────┘
